cluster_id,family,reasoning_shape,failure_reason,count,sample_ids,sample_gold,sample_questions
U001,magnetic_induction,magnetic_induction_primitives,RLC formula not covered,108,NL007; NL008; NL010; NL015; NL016; NL019; NL023; NL028,NL007=0.11 A; NL008=0.01 H; NL010=0.0004 H; NL015=0.09 A; NL016=0.002 H,"NL007: An inductor has a magnetic field energy of 1.8 mJ and an inductance (L) of 0.3 H. Calculate the c... || NL008: An inductor has a magnetic field energy of 0.45 mJ, and the current through it is 0.3 A. Calculat... || NL010: An inductor has a current of 4 A, and its magnetic field energy is 3.2 mJ. Calculate its inductan..."
U002,electrostatics_force,electrostatics_relation_or_vector_gap,target charge not identified,97,LD008; LD009; LD011; LD013; LD014; LD015; LD016; LD019,LD008=7 N; LD009=8.66 N; LD011=5 N; LD013=10 N; LD014=3.46 μC,"LD008: Two electric forces are acting in the same direction, with magnitudes of 3 N and 4 N respectively... || LD009: Two electric forces, each with a magnitude of 5 N, act at an angle of 60° to each other. What is... || LD011: An electric charge is subjected to two electric forces with magnitudes of 4 N and 3 N, acting at..."
U003,capacitor,capacitor_energy_state,capacitor formula not covered,72,TD361; TD362; TD367; TD370; TD371; TD372; TD375; TD378,TD361=160 μJ; TD362=4 μF; TD367=4 times; TD370=10 μF; TD371=9 times,"TD361: A capacitor has a charge of 40 μC and a voltage of 8 V. Calculate the energy stored in the capaci... || TD362: Calculate the capacitance of a capacitor that has 200 μJ of stored energy when the voltage across... || TD367: A capacitor has a capacitance of 2 μF, and a voltage U is applied across it. If U is doubled, how..."
U004,ac_rlc,rlc_resonance,RLC formula not covered,59,DDT333; CHLT007; CHLT012; CH023; CH024; CH033; CH063; CH065,DDT333=30.0 V; CHLT007=No -; CHLT012=Yes -; CH023=91.89 Hz; CH024=225.08 Hz,"DDT333: Given a series RLC circuit with R = 15 Ω and an RMS current of 2 A, what is the total RMS voltage... || CHLT007: A series RLC circuit consists of R=15 Ω, L=0.3 H, and C=30 μF. Is the circuit in resonance at a f... || CHLT012: An RLC circuit has R=20 Ω, L=0.159 H, and C=10 μF. Is the circuit in resonance at f=126 Hz?"
U005,unknown,unknown_unsupported,RLC formula not covered,53,THCB004; THCB007; THCB066; THCB067; THCB068; THCB069; THCB070; THCB071,THCB004=0.26 A; THCB007=0.13 A; THCB066=I_D₁ = 1.0; I_D₂ = 1.0; I_total = 2.0 A; A; A; THCB067=I_D₂ = 0.6 A; THCB068=I_total = 1.5 A,"THCB004: When measuring the current through a resistor, a value of 0.25 A was obtained with an uncertainty... || THCB007: A student measures the current 3 times and obtains the values: 1.8 A, 2.0 A, 2.2 A. What is the r... || THCB066: A voltage source of U = 9V. Two lamps are connected in parallel, and each lamp has a resistance R..."
U006,ac_rlc,rlc_formula_family,RLC formula not covered,45,DT047; DDT330; DDT347; CHLT014; CH021; CH026; CH028; CH061,DT047=1/2 . (1/ \sqrt{E_A} + 1/ \sqrt{E_B}) -; DDT330=the circuit exhibits an inductive characteristic —; DDT347=12.03 Ω; CHLT014=Yes -; CH021=39.79 Hz,"DT047: A charge q is placed at point O in the air. Ox is an electric field line. Take two points A and B... || DDT330: In an RLC circuit, Z_L = 70 Ω and Z_C = 50 Ω. What is the circuit's characteristic? || DDT347: A series RLC circuit has R = 12 Ω, L = 0.2 H, and f = 50 Hz. Calculate Z if C = 50 μF."
U007,capacitor,capacitor_network,capacitor formula not covered,43,TD007; TD008; TD009; TD010; TD011; TD015; TD017; TD021,TD007=1200 V; TD008=600 V; TD009=3 nC; TD010=100 V; TD011=5 nF,TD007: A parallel-plate air capacitor with a capacitance of C = 2pF is charged to a potential difference... || TD008: An air-filled parallel plate capacitor with a capacitance C = 2 pF is charged to a potential diff... || TD009: A parallel-plate capacitor has circular plates with a radius of 10 cm. The distance between the p...
U008,energy_power,energy_power_primitives,capacitor formula not covered,41,THCB075; THCB077; THCB082; THCB084; NL025; NL026; NL095; NL100,THCB075=P = 48.0 W; THCB077=P_total = 30 W; THCB082=P = 9.0 W; THCB084=I = 2.0 A; NL025=all energy is entirely stored in the magnetic field of the inductor —,"THCB075: A 24V source supplies 2 A of current to a circuit with two parallel lamps. Calculate the total po... || THCB077: The power consumption of lamps D₁ and D₂ is 10W and 20W, respectively. Calculate the total power... || THCB082: Two identical lamps are connected in parallel and consume a total of 18W. Calculate the power of..."
U009,electrostatics_field,electrostatics_relation_or_vector_gap,target field point not identified,39,LD068; LD075; LD083; DT020; DT027; DT029; DT030; DT036,LD068=538 N/C; LD075=18 cm; LD083=9.6 × 10^2 V/m; DT020=\frac{4 \sqrt{2} k q}{\epsilon a^2} V/m; DT027=8 cm,"LD068: Three equal positive point charges, q = 5 × 10^-9 C, are placed at three vertices of a square wit... || LD075: Two charges, q1 = 8 × 10^-9 C and q2 = −2 × 10^-9 C, are placed at points A and B, separated by 9... || LD083: Three positive charges, q1 = q2 = q3 = q = 5 × 10^-9 C, are placed at three consecutive vertices..."
U010,capacitor,capacitor_target_or_relation,capacitor formula not covered,33,TD014; TD095; TD096; TD099; TD358; TD363; TD393; DDT351,TD014=320 V; TD095=240 V; TD096=193.75 V; TD099=196.67 V; TD358=5 μF,"TD014: Two capacitors with capacitances C1 = 2 μF and C2 = 3 μF are charged to voltages U1 = 200 V and U... || TD095: Two capacitors with capacitances C1 = 4 μF and C2 = 6 μF are charged to U1 = 150 V and U2 = 300 V... || TD096: Two capacitors with capacitances C1 = 3 μF and C2 = 5 μF, respectively, are charged to U1 = 100 V..."
U011,electrostatics_field,electrostatics_relation_or_vector_gap,field source charges not identified,32,LD053; LD059; LD085; LD092; DT019; DT028; DT049; DT050,LD053=3.125 × 10^6 V/m; LD059=0 V/m; LD085=2 × sqrt(2) × k × q / a^2 -; LD092=2459 V/m; DT019=0 V/m,"LD053: At two points A and B, separated by 10 cm in the air, two charges q1 = -q2 = 6 × 10^-6 C are plac... || LD059: Four charges of the same magnitude q are placed at the four vertices of a square ABCD with side l... || LD085: At the three vertices of a right isosceles triangle ABC, with AB = AC = a, three positive charges..."
U012,electrostatics_force,electrostatics_perpendicular_distance,target charge not identified,30,LD006; LD007; LD025; LD037; LD045; LD124; LD137; LD142,LD006=1.23 × 10^-3 N; LD007=17.28 N; LD025=6.25 N; LD037=34.56 N; LD045=45 N,"LD006: Two point charges q1 = 10^-8 C and q2 = -3×10^-8 C are placed in air at two points A and B, 8 cm... || LD007: Two charges, q1 = +2×10^-6 C and q2 = -2×10^-6 C, are placed at points A and B in a vacuum, 6 cm... || LD025: Two charges, q1 = +2 μC and q2 = +2 μC, are placed at the ends of a 10 cm long line segment. A th..."
U013,ac_rlc,rlc_power,RLC formula not covered,25,CH045; CH046; CH047; CH048; CH049; CH051; CH053; CH056,CH045=400 W; CH046=300 W; CH047=180 W; CH048=100 W; CH049=250 W,"CH045: A resonant RLC circuit has a resistance R = 25 Ω and an applied voltage U = 100 V. What is the po... || CH046: An RLC resonant circuit has an RMS voltage of 150 V and a resistance R of 75 Ω. Calculate the pow... || CH047: In an RLC resonant circuit, the voltage U = 60 V, and the resistance R = 20 Ω. What is the power..."
U014,ac_rlc,rlc_current,RLC formula not covered,21,DDT323; DDT326; DDT338; CH101; CH108; CH151; CH171; CH173,DDT323=10.0 A; DDT326=135.0 W; DDT338=63.62 V; CH101=34.64 Ω; CH108=15 Ω,"DDT323: A resonant RLC circuit has R = 10 Ω and U = 100 V. Calculate the effective current. || DDT326: For a resonant circuit with an RMS current of 3 A and a resistance (R) of 15 Ω, calculate the pow... || DDT338: Given R = 10 Ω and L = 0.2 H connected in series in a circuit operating at f = 50 Hz, determine t..."
U015,electrostatics_field,electrostatics_equilateral_vertices,target field point not identified,21,LD084; LD096; LD296; LD301; LD305; LD306; LD310; LD311,LD084=0 V/m; LD096=0 V/m; LD296=7.05 × 10^6 V/m; LD301=1.25 × 10^7 V/m; LD305=3.82 × 10^6 V/m,"LD084: Three identical charges Q are fixed at the three vertices of an equilateral triangle with side 'a... || LD096: Three equal, like-signed electric charges q = 2 × 10^-6 C are placed at the three vertices of an... || LD296: Three electric charges, q1 = q2 = q3 = 4.8 × 10^-6 C, are placed at the three vertices of an equi..."
U016,measurement,measurement_error_propagation,measurement formula not covered,20,THCB005; THCB008; THCB086; THCB089; THCB091; THCB095; THCB096; THCB099,THCB005=4.21 %; THCB008=0.19 W; THCB086=0.8 %; THCB089=0.83 %; THCB091=0.63 %,"THCB005: In an experiment, the measured voltage was 9.5 ± 0.2 V, and the measured current was 0.95 ± 0.02... || THCB008: When measuring voltage with a voltmeter, the result is 6.3 ± 0.1 V. If this is used to calculate... || THCB086: A student measures the length of a wooden rod as 25.0 ± 0.2 cm. Calculate the percentage relative..."
U017,electrostatics_field,electrostatics_midpoint_target,target field point not identified,18,LD064; LD067; LD070; LD079; LD095; DT054; DT057; DT096,LD064=10000 V/m; LD067=9.8 × 10^5 N/C; LD070=4.5 × 10^5 V/m; LD079=0 V/m; LD095=0 V/m,"LD064: Two point charges, q1 = 0.5 nC and q2 = –0.5 nC, are placed at points A and B, 6 cm apart in air.... || LD067: Determine the electric field vector produced by a system of two point charges, q1 = 2 × 10^-7 C a... || LD070: Two point charges q1 = -10^-6 C and q2 = 10^-6 C are placed at points A and B, separated by 40 cm..."
U018,electrostatics_field,electrostatics_perpendicular_distance,field source charges not identified,16,LD081; DT007; DT008; DT041; DT042; DT044; DT058; DT081,LD081=432000 V/m; DT007=a/ \sqrt{2} m; DT008=/frac{2k \q h}{(a^2 + h^2)^1.5} V/m; DT041=10^4 V/m; DT042=-0.4 . 10^{-4} C,"LD081: Point charges qA and qB, both equal to 3 × 10⁻⁷ C, are placed respectively at two points A and B... || DT007: Two electric charges q1 = q2 = q (with q > 0) are placed at two points A and B, with the distance... || DT008: Two charges, q1 = q2 = q (where q > 0, in Coulombs), are placed at points A and B, with the dista..."
U019,electrostatics_force,electrostatics_charge_target_mapping,no source charge distances to target,14,LD032; LD034; LD039; LD044; LD101; LD103; LD104; LD105,LD032=0.05 N; LD034=4 × 10^-7 N; LD039=0 N; LD044=9.45 N; LD101=2.707*10^-3 N,"LD032: In a vacuum, two charges q1 = 10^-7 C and q2 = -10^-7 C are placed at points A and B, separated b... || LD034: Two point charges q1 = 2×10⁻² µC and q2 = -2×10⁻² µC are placed at points A and B, separated by a... || LD039: Four identical charges q1, q2, q3, q4 are placed at the four vertices of a square ABCD, with a si..."
U020,capacitor,capacitor_dielectric_state,capacitor formula not covered,13,TD001; TD002; TD012; TD091; TD092; TD097; TD100; TD384,TD001=150 V; TD002=300 V; TD012=3 μC; TD091=2.085 μC; TD092=1.69 μC,TD001: An air-filled parallel-plate capacitor has a capacitance C = 500 pF and is charged to a potential... || TD002: An air-filled parallel plate capacitor has a capacitance C = 500 pF and is charged to a voltage U... || TD012: A parallel-plate capacitor has circular plates with a radius R = 60 cm. The plate separation is d...
U021,ac_rlc,rlc_impedance,RLC formula not covered,12,DDT332; DDT336; DDT339; DDT346; DDT348; DDT349; CH004; CH014,DDT332=3.0 A; DDT336=25.0 Ω; DDT339=270.0 W; DDT346=270.0 W; DDT348=162.0 W,"DDT332: A series RLC circuit is supplied by an AC source of 120 V, with a total impedance Z of 40 Ω. Calc... || DDT336: For a series RLC circuit, with an applied voltage U = 100 V and a current I = 4 A, calculate the... || DDT339: An RLC series circuit has an impedance Z = 50 Ω, a resistance R = 30 Ω, and a source voltage of 1..."
U022,ac_rlc,rlc_power_factor,RLC formula not covered,12,DDT327; DDT337; DDT343; CH152; CH176; CH177; CH178; CH246,DDT327=0.60 -; DDT337=0.60 -; DDT343=0.40 -; CH152=0.707 -; CH176=1 -,"DDT327: For an RLC circuit with R = 12 Ω and Z = 20 Ω, calculate the power factor (cosφ). || DDT337: An RLC series circuit has R = 18 Ω and Z = 30 Ω. Calculate the power factor, cosφ. || DDT343: Given a series RLC circuit has R = 16 Ω, Z = 40 Ω, calculate the power factor cosφ."
U023,measurement,measurement_statistic_or_contract,measurement formula not covered,11,THCB105; THCB109; THCB119; THCB126; THCB134; THCB135; NL326; DDT397,THCB105=2.5 %; THCB109=0.5 %; THCB119=1.67 %; THCB126=0.29 %; THCB134=1.67 %,THCB105: The measured voltage is 4.0 ± 0.1 V. Calculate the percentage relative uncertainty. || THCB109: Mass measurement result: 200.0 ± 1.0 g. Calculate the percentage relative uncertainty. || THCB119: The resistance measurement result is: 12.0 ± 0.2 Ω. Calculate the percentage relative uncertainty.
U024,electrostatics_force,electrostatics_relation_or_vector_gap,no source charge distances to target,10,LD024; LD102; LD106; LD111; LD112; LD113; LD114; LD117,LD024=6.04 N; LD102=0.238 N; LD106=0.071 N; LD111=4.16*10^-3 N; LD112=1.3*10^-3 N,"LD024: Three charges q1 = +1 μC, q2 = -2 μC, q3 = +3 μC are placed at the vertices of an isosceles right... || LD102: Charges q1 = -2 × 10^-7 C and q2 = -1 × 10^-7 C are placed at points A and B, separated by 6 cm i... || LD106: Two electric charges, q1 = +8 × 10^-8 C and q2 = +8 × 10^-8 C, are placed at two points A and B,..."
U025,electrostatics_force,electrostatics_charge_target_mapping,target charge not identified,8,LD021; LD026; LD027; LD038; LD041; LD047; DT004; LD285,LD021=2.98 N; LD026=0.18 N; LD027=30.24 × 10^-3 N; LD038=2.45 × 10^-7 N; LD041=√2 × F0 N,"LD021: A charge q = -1 μC is attracted by two +1 μC charges. These two positive charges are located on o... || LD026: Two electric charges, q1 = 8 × 10^-8 C and q2 = -8 × 10^-8 C, are placed at points A and B respec... || LD027: Two charges, q1 = 8×10^-8 C and q2 = -8×10^-8 C, are placed at points A and B in the air (AB = 6..."
U026,electrostatics_field,electrostatics_charge_target_mapping,field source charges not identified,6,LD076; LD077; LD087; DT072; DT087; DT091,LD076=-4 × 10^-7 C; LD077=E1 = (3/4)E2 -; LD087=-2\sqrt{2} x q -; DT072=3863925.47 N/C; DT087=2000 V/m,"LD076: At the three vertices A, B, and C of a square ABCD with side length 6 cm in a vacuum, three point... || LD077: Two test charges q1 and q2 (q1 = 4q2) are placed at points A and B respectively in an electric fi... || LD087: Given a square ABCD with side length 'a'. Charges q1 = q3 = q are placed at A and C. What charge..."
U027,electrostatics_field,electrostatics_equilateral_vertices,field source charges not identified,6,LD061; LD063; LD080; DT040; DT051; DT056,LD061=1.2178 × 10^-3 V/m; LD063=0.7031 × 10^-3 V/m; LD080=1.218 x 10^-3 V/m; DT040=4 . 10^{-9} C; DT051=1.22 . 10^{-3} V/m,"LD061: Two electric charges, q1 = q2 = 5 × 10^-16 C, are placed at vertices B and C of an equilateral tr... || LD063: Two electric charges, q1 = 5 × 10^-16 C and q2 = –5 × 10^-16 C, are placed at vertices B and C of... || LD080: Two electric charges, q1 = q2 = 5 × 10^-16 C, are placed at vertices B and C of an equilateral tr..."
U028,electrostatics_field,electrostatics_charge_target_mapping,target field point not identified,5,DT025; DT045; DT046; DT060; DT080,DT025=60 cm; DT045=3 . 10^{-7} C; DT046=3 . 10^4 V/m; DT060=1/4 \pi rad; DT080=3.4 . 10^{-7} kg,"DT025: Given two point charges located along the Ox axis: charge q1 = -9 x 10^-6 C is placed at the orig... || DT045: A charge q = 10^-7 C is placed in the electric field of a point charge Q, experiencing a force F... || DT046: A charge q = 10^-7 C is placed in the electric field of a point charge Q, and experiences a force..."
U029,electrostatics_force,electrostatics_midpoint_target,target charge not identified,5,LD035; LD036; LD123; LD206; LD263,LD035=0.36 N; LD036=0 N; LD123=14.140 N; LD206=0.227 N; LD263=0.4315*10^-3 N,"LD035: Two point charges q1 = 4×10^-8 C and q2 = -4×10^-8 C are placed at points A and B, separated by a... || LD036: Two point charges, q1 and q2, of equal magnitude and the same sign, are placed in air a distance... || LD123: Two charges, q1 = +2 × 10^-6 C and q2 = +2 × 10^-6 C, are placed at points A and B, separated by..."
U030,electrostatics_force,electrostatics_equilateral_vertices,target charge not identified,3,LD018; LD043; LD146,LD018=3.12 N; LD043=0 N; LD146=3.89*10^-3 N,"LD018: Two identical charges q = +2 μC are placed at two vertices of an equilateral triangle with side l... || LD043: Three identical charges 'q' are placed at the three vertices of an equilateral triangle with side... || LD146: Three electric charges, q1 = q2 = q3 = +5 × 10^-6 C, are placed at the three vertices of an equil..."
U031,electrostatics_force,electrostatics_midpoint_target,no source charge distances to target,3,LD022; LD031; LD042,LD022=14.4 N; LD031=1.125 × 10^-1 N; LD042=0 N,"LD022: Two electric charges, q1 = +2 μC and q2 = -2 μC, are placed 10 cm apart. A charge q3 = +1 μC is p... || LD031: In a vacuum, consider two electric charges q1 = -q2 = 10^-7 C placed at points A and B, separated... || LD042: Two charges, q1 = +1 μC and q2 = +1 μC, are placed at points A and B, separated by 4 cm. Find the..."
U032,electrostatics_field,electrostatics_midpoint_target,field source charges not identified,2,LD078; DT061,LD078=16 V/m; DT061=16 V/m,"LD078: Two points A and B lie on the same electric field line generated by a positive point charge q > 0... || DT061: The electric field strength produced by a point charge at point A is 36 V / m, and at point B is..."
U033,electrostatics_force,electrostatics_equilateral_vertices,no source charge distances to target,1,LD030,LD030=7.2 × 10^-4 N,"LD030: Three charges, q1 = 8×10^-9 C, q2 = q3 = -8×10^-9 C, are placed at the three vertices of an equil..."
U034,rlc_resonance_yes_no,rlc_formula_family,RLC formula not covered,1,DDT350,DDT350=The circuit exhibits an inductive characteristic. —,"DDT350: Given a series RLC circuit with Z_L = 100 Ω and Z_C = 80 Ω, what characteristic does the circuit..."
U035,rlc_resonance_yes_no,rlc_resonance,RLC formula not covered,1,CH180,CH180=1 -,CH180: What value does cosφ reach in the case of resonance?
